log	0.0	0.4475524	0.3889847	0.5072182
log	0.1	5.734266e-01	5.138470e-01	6.314688e-01
log	0.2	0.4930070	0.4336522	0.5525082
log	0.3	0.5104895	0.4509587	0.5698007
log	0.4	0.52280702	0.46308745	0.58204754
log	0.5	0.50871080	0.44930077	0.56793917
log	0.6	0.52249135	0.46319821	0.58131870
log	0.7	0.5489510490	0.4892810096	0.6075963936
log	0.8	0.53846154	0.47879557	0.59732245
log	0.9	6.933798e-01	6.364907e-01	7.462233e-01
log	1.0	7.263158e-01	6.706186e-01	7.772382e-01
npn	0.0	6.912281e-01	6.340476e-01	7.443798e-01
npn	0.1	8.111888e-01	7.609389e-01	8.548594e-01
npn	0.2	8.315789e-01	7.829757e-01	8.731320e-01
npn	0.3	8.181818e-01	7.685055e-01	8.611265e-01
npn	0.4	8.006993e-01	7.496321e-01	8.454149e-01
npn	0.5	8.146853e-01	7.647192e-01	8.579959e-01
npn	0.6	8.146853e-01	7.647192e-01	8.579959e-01
npn	0.7	8.286713e-01	7.799009e-01	8.704805e-01
npn	0.8	8.210526e-01	7.715233e-01	8.637633e-01
npn	0.9	8.286713e-01	7.799009e-01	8.704805e-01
npn	1.0	8.006993e-01	7.496321e-01	8.454149e-01
qn	0.0	7.237762e-01	6.680631e-01	7.747855e-01
qn	0.1	7.552448e-01	7.011697e-01	8.039457e-01
qn	0.2	7.816901e-01	7.290648e-01	8.283318e-01
qn	0.3	7.951389e-01	7.438537e-01	8.402369e-01
qn	0.4	7.762238e-01	7.234354e-01	8.231885e-01
qn	0.5	7.684211e-01	7.150339e-01	8.161319e-01
qn	0.6	7.797203e-01	7.271627e-01	8.263790e-01
qn	0.7	7.665505e-01	7.132489e-01	8.142560e-01
qn	0.8	7.797203e-01	7.271627e-01	8.263790e-01
qn	0.9	7.684211e-01	7.150339e-01	8.161319e-01
qn	1.0	7.762238e-01	7.234354e-01	8.231885e-01
tdm	0.0	6.468531e-01	5.884133e-01	7.022142e-01
tdm	0.1	8.076923e-01	7.571644e-01	8.517170e-01
tdm	0.2	7.832168e-01	7.308949e-01	8.295646e-01
tdm	0.3	8.076923e-01	7.571644e-01	8.517170e-01
tdm	0.4	7.979094e-01	7.467308e-01	8.428192e-01
tdm	0.5	7.832168e-01	7.308949e-01	8.295646e-01
tdm	0.6	7.824561e-01	7.299829e-01	8.289504e-01
tdm	0.7	8.035088e-01	7.525581e-01	8.480241e-01
tdm	0.8	7.902098e-01	7.383743e-01	8.359205e-01
tdm	0.9	7.874564e-01	7.355257e-01	8.333433e-01
tdm	1.0	7.587413e-01	7.048693e-01	8.071643e-01
un	0.0	0.50699301	0.44749181	0.56634785
un	0.1	6.561404e-01	5.978348e-01	7.111600e-01
un	0.2	6.853147e-01	6.280266e-01	7.387133e-01
un	0.3	7.979094e-01	7.467308e-01	8.428192e-01
un	0.4	7.797203e-01	7.271627e-01	8.263790e-01
un	0.5	7.797203e-01	7.271627e-01	8.263790e-01
un	0.6	7.622378e-01	7.085734e-01	8.103785e-01
un	0.7	7.587413e-01	7.048693e-01	8.071643e-01
un	0.8	8.048780e-01	7.542272e-01	8.491095e-01
un	0.9	7.894737e-01	7.374871e-01	8.353296e-01
un	1.0	7.832168e-01	7.308949e-01	8.295646e-01
